# GRIDDLE — Curated Word List (279 words)
# Format: WORD | TIER | NOTE
# Tiers: A (very common) | B (common) | C (usable) | PROMOTED (lower freq but great puzzle word)
# Flagged words removed: political, negative/dark, corporate jargon, mundane
# Words marked [REVIEW] need a human decision before finalizing

education       | A      |
royalties       | C      |
sectional       | C      |
compliant       | C      |
farmhouse       | PROMOTED |
proactive       | C      |
dominates       | C      |
hypocrite       | PROMOTED |
horseback       | PROMOTED |
misplaced       | C      |
spherical       | C      |
adversity       | C      |
authorize       | C      |
downright       | C      |
insulated       | C      |
keyboards       | C      |
faculties       | C      |
sunflower       | PROMOTED |
vineyards       | C      |
davenport       | C      | [REVIEW] primarily a proper noun (city/sofa)
fostering       | C      |
outbreaks       | C      |
stumbling       | C      |
excursion       | C      |
hairstyle       | C      |
implanted       | C      |
lunchtime       | C      |
pathogens       | C      |
practised       | C      |
fractions       | C      |
republics       | C      |
labyrinth       | PROMOTED |
unethical       | C      |
polarized       | C      |
construed       | C      |
crumbling       | C      |
doctrines       | C      |
amplitude       | C      |
customize       | C      |
formative       | C      |
nervously       | C      |
trembling       | C      |
triangles       | C      |
youngster       | C      |
gunpowder       | PROMOTED |
longitude       | C      |
combating       | C      |
firsthand       | C      |
modernity       | C      |
snowflake       | PROMOTED |
throwback       | PROMOTED |
dismantle       | C      |
kilograms       | C      |
moustache       | C      |
sprinkled       | C      |
strangled       | C      | [REVIEW] negative connotation
thumbnail       | PROMOTED |
embryonic       | C      |
formulate       | C      |
metaphors       | C      |
parchment       | C      |
dialogues       | C      |
mavericks       | C      | [REVIEW] also an NBA team name
absurdity       | C      |
complying       | C      |
goldsmith       | C      |
modernist       | C      |
playhouse       | C      |
craftsmen       | C      |
launchers       | C      |
obscurity       | C      |
onslaught       | C      |
bachelors       | C      |
courtship       | C      |
sprawling       | C      |
makeshift       | C      |
tampering       | C      |
uniformed       | C      |
clergyman       | C      |
eruptions       | C      |
greyhound       | PROMOTED |
miserably       | C      |
uncharted       | C      |
upholding       | C      |
budgetary       | C      |
embarking       | C      |
foresight       | C      |
hamstring       | C      |
contrived       | C      |
formality       | C      |
interplay       | C      |
showering       | C      |
backstory       | C      |
lecturing       | C      |
betraying       | C      |
incubator       | C      |
supernova       | PROMOTED |
unmatched       | C      |
custodian       | C      |
stockpile       | C      |
conspired       | C      |
harmonies       | C      |
pneumatic       | C      |
shipwreck       | PROMOTED |
macintosh       | C      | [REVIEW] brand name (Apple Mac)
normative       | C      |
patchwork       | PROMOTED |
pseudonym       | PROMOTED |
anxiously       | C      |
ligaments       | C      |
cautioned       | C      |
organizes       | C      |
tribunals       | C      |
alchemist       | PROMOTED |
curtailed       | C      |
lifeguard       | C      |
southward       | C      |
cremation       | C      |
masterful       | C      |
bacterium       | C      |
defiantly       | C      |
eastbound       | C      |
lubricant       | C      |
observant       | C      |
vehicular       | C      |
auctioned       | C      |
backfired       | C      |
balconies       | C      |
bleaching       | C      |
emulation       | C      |
symbolize       | C      |
tenacious       | C      |
westbound       | C      |
byproduct       | C      |
configure       | C      |
dragonfly       | PROMOTED |
incurable       | C      |
bystander       | C      |
emigrants       | C      |
outwardly       | C      |
sparingly       | C      |
pitchfork       | PROMOTED |
revolting       | C      |
sketching       | C      |
fieldwork       | PROMOTED |
clipboard       | PROMOTED |
harlequin       | PROMOTED |
brimstone       | PROMOTED |
locksmith       | PROMOTED |
wristband       | PROMOTED |
buckwheat       | PROMOTED |
scoundrel       | PROMOTED |
cyberpunk       | PROMOTED |
artichoke       | PROMOTED |
yardstick       | PROMOTED |
quicksand       | PROMOTED |
shakedown       | PROMOTED |
afterglow       | PROMOTED |
flowchart       | PROMOTED |
decathlon       | PROMOTED |
goldfinch       | PROMOTED |
awestruck       | PROMOTED |
drumstick       | PROMOTED |
fruitcake       | PROMOTED |
mousetrap       | PROMOTED |
spearmint       | PROMOTED |
trapezoid       | PROMOTED |
swordplay       | PROMOTED |
juxtapose       | PROMOTED |
tinderbox       | PROMOTED |
